Time (UTC),Spot Price 2025,Spot Price 2035,Spot Price 2045,DA forecast,Realised production
2014-01-14 04.59.58,72.198,52.871,52.707,0.0006,0.0376
2014-01-14 05.59.58,74.98,51.083,45.084,0,0.0121
2014-01-14 06.59.58,75.69,57.926,48.633,0,0
2014-01-14 07.59.58,74.98,52.28,48.633,0,0
2014-01-14 08.59.58,74.98,51.726,48.633,0,0
2014-01-14 09.59.58,80.011,51.726,49.282,0,0
2014-01-14 10.59.58,77.061,52.871,50.439,0,0
2014-01-14 11.59.58,78.861,52.871,51.463,0,0
2014-01-14 12.59.58,78.971,52.871,52.707,0,0
2014-01-14 13.59.58,76.98,52.871,52.707,0,0
2014-01-14 14.59.58,77.413,57.679,52.707,0,0
2014-01-14 15.59.58,77.406,63.993,52.707,0,0
2014-01-14 16.59.58,76.497,53.609,52.707,0,0
2014-01-14 17.59.58,74.882,52.871,52.707,0,0
2014-01-14 18.59.58,59.92,52.871,52.707,0,0.0088
2014-01-14 19.59.58,58.623,52.871,52.707,0,0.0338
2014-01-14 20.59.58,58.623,52.871,52.707,0,0.058
2014-01-14 21.59.58,58.623,52.871,52.707,0,0.0622
2014-01-14 22.59.58,58.623,52.871,52.707,0,0.094
2014-01-14 23.59.58,34.915,45.799,45.367,0.1557,0.1107
2014-01-15 00.59.58,34.536,45.799,45.367,0.1556,0.1345
2014-01-15 01.59.58,34.536,45.799,45.367,0.1489,0.1403
2014-01-15 02.59.58,34.536,45.626,45.367,0.133,0.1501
2014-01-15 03.59.58,34.915,45.799,45.367,0.1645,0.1735
2014-01-15 04.59.58,35.728,47.471,45.367,0.1997,0.1907
2014-01-15 05.59.58,45.366,47.667,45.367,0.2472,0.2121
2014-01-15 06.59.58,46.348,50.603,45.95,0.289,0.234
2014-01-15 07.59.58,45.366,48.032,45.442,0.3099,0.2468
2014-01-15 08.59.58,35.71,46.305,44.627,0.3522,0.25
2014-01-15 09.59.58,35.87,46.493,43.613,0.4628,0.2861
2014-01-15 10.59.58,34.837,45.686,43.613,0.4705,0.2945
2014-01-15 11.59.58,34.691,45.686,43.613,0.4373,0.2963
2014-01-15 12.59.58,34.691,45.832,43.866,0.4737,0.3363
2014-01-15 13.59.58,34.949,45.686,43.866,0.4528,0.3332
2014-01-15 14.59.58,35.097,45.626,45.367,0.4613,0.3473
2014-01-15 15.59.58,34.729,45.626,45.367,0.5082,0.3858
2014-01-15 16.59.58,34.566,45.626,45.367,0.5523,0.418
2014-01-15 17.59.58,33.59,45.626,45.367,0.5594,0.4059
2014-01-15 18.59.58,32.948,45.626,45.367,0.6618,0.4378
2014-01-15 19.59.58,32.934,45.626,45.367,0.7685,0.4974
