Time (UTC),Spot Price 2025,Spot Price 2035,Spot Price 2045,DA forecast,Realised Production
2012-01-09 01.00.00,36.277,45.69,43.261,0.154,0.0034
2012-01-09 02.00.00,36.277,45.69,43.261,0.1009,0
2012-01-09 03.00.00,36.277,45.695,43.261,0.0362,0
2012-01-09 04.00.00,37.286,45.695,43.513,0.0061,0
2012-01-09 05.00.00,42.924,47.567,43.724,0,0
2012-01-09 06.00.00,58.071,48.139,44.477,0,0
2012-01-09 07.00.00,51.818,54.093,44.236,0.013,0
2012-01-09 08.00.00,47.587,46.823,43.724,0.0889,0
2012-01-09 09.00.00,38.427,45.695,42.929,0.1692,0.0519
2012-01-09 10.00.00,37.154,45.477,42.098,0.269,0.1436
2012-01-09 11.00.00,35.397,44.452,40.523,0.3696,0.2063
2012-01-09 12.00.00,34.769,44.342,40.523,0.3684,0.2166
2012-01-09 13.00.00,34.769,44.342,40.523,0.3926,0.2557
2012-01-09 14.00.00,35.313,44.342,40.523,0.3314,0.247
2012-01-09 15.00.00,34.817,44.171,42.644,0.3063,0.2525
2012-01-09 16.00.00,34.817,44.171,43.261,0.2592,0.2661
2012-01-09 17.00.00,34.769,44.171,43.261,0.3905,0.428
2012-01-09 18.00.00,34.769,44.171,43.261,0.9127,0.9295
2012-01-09 19.00.00,34.494,44.171,43.261,0.906,0.9632
2012-01-09 20.00.00,34.494,44.171,43.261,0.8588,0.9303
2012-01-09 21.00.00,34.494,44.171,43.261,0.888,0.9224
2012-01-09 22.00.00,34.494,44.171,43.261,0.7915,0.855
2012-01-09 23.00.00,34.494,44.171,43.261,0.8483,0.9005
2012-01-10 00.00.00,32.058,43.607,15.414,0.6519,0.6777
2012-01-10 01.00.00,31.971,41.817,15.414,0.3604,0.448
2012-01-10 02.00.00,31.971,41.027,15.414,0.2637,0.3513
2012-01-10 03.00.00,32.372,43.838,15.414,0.1824,0.2629
2012-01-10 04.00.00,32.372,44.207,15.414,0.185,0.2652
2012-01-10 05.00.00,34.457,44.626,15.531,0.1311,0.2106
2012-01-10 06.00.00,35.96,45.465,15.414,0.0823,0.1937
2012-01-10 07.00.00,44.594,49.597,16.325,0.0787,0.1854
2012-01-10 08.00.00,45.873,46.23,15.902,0.0941,0.1907
2012-01-10 09.00.00,41.56,44.448,15.113,0.0327,0.1475
2012-01-10 10.00.00,43.081,42.63,14.504,0.0137,0.1606
2012-01-10 11.00.00,35.077,28.737,13.202,0.0125,0.1683
2012-01-10 12.00.00,25.189,23.204,13.202,0.0225,0.2111
2012-01-10 13.00.00,24.155,22.499,13.296,0.0369,0.228
2012-01-10 14.00.00,31.735,22.499,13.296,0.058,0.2363
2012-01-10 15.00.00,32.787,22.499,15.188,0.0594,0.2406
2012-01-10 16.00.00,29.532,23.373,15.414,0.0743,0.2737
2012-01-10 17.00.00,29.532,23.373,15.414,0.0913,0.2758
2012-01-10 18.00.00,24.155,23.373,15.414,0.1146,0.3017
