HA production forecast,Realised Balancing Price,System Signal 
0.2774,210.4116147,1
0.6915,210.4116147,1
0.7634,35.113,0
0.7963,35.113,0
0.7349,210.4116147,1
0.8066,210.4116147,1
0.4979,210.4116147,1
0.6983,210.4116147,1
0.6753,210.4116147,1
0.5913,210.4116147,1
0.6529,36.17,0
0.6144,210.4116147,1
0.6264,33.844,0
0.7604,210.4116147,1
0.6536,210.4116147,1
0.7121,210.4116147,1
0.577,210.4116147,1
0.2934,210.4116147,1
0.3677,210.4116147,1
0.2901,210.4116147,1
0.2053,210.4116147,1
0.1331,210.4116147,1
0.1595,210.4116147,1
0.181,42.37399983,1
0.1811,210.4116147,1
0.1506,210.4116147,1
0.1337,210.4116147,1
0.1396,210.4116147,1
0.1649,210.4116147,1
0.1075,210.4116147,1
0.0946,210.4116147,1
0.0946,210.4116147,1
0.0907,210.4116147,1
0.1223,210.4116147,1
0.1595,210.4116147,1
0.1459,210.4116147,1
0.0689,210.4116147,1
0.0733,210.4116147,1
0.0169,210.4116147,1
0,210.4116147,1
0.0011,210.4116147,1
0,210.4116147,1
0.0164,210.4116147,1
0.049,210.4116147,1
0.0178,210.4116147,1
0.0544,210.4116147,1
0.0445,45.732,1
0.033,41.964,0
0.0578,40.238,0
0.1513,210.4116147,1
0.1404,42.42808407,1
0.096,210.4116147,1
0.0368,210.4116147,1
0.0877,210.4116147,1
0.1677,210.4116147,1
0.1023,81.382,0
0.1496,75.652,0
0.087,71.811,0
0.0676,63.253,0
0.1499,59.516,0
0.1431,59.516,0
0.0786,67.048,0
0.1063,67.048,0
0.0954,67.048,0
0.1806,67.048,0
0.1795,210.4116147,1
0.2412,210.4116147,1
0.2132,210.4116147,1
0.2865,210.4116147,1
0.1843,90.082,0
0.2075,59.179,0
0.2761,52.409,0
0.3013,46.858,0
0.2651,210.4116147,1
0.2616,210.4116147,1
0.3446,57.718,0
0.3394,71.124,0
0.3927,210.4116147,1
0.3506,210.4116147,1
0.3272,210.4116147,1
0.2718,210.4116147,1
0.3172,210.4116147,1
0.2429,210.4116147,1
0.2243,210.4116147,1
0.2263,210.4116147,1
0.105,71.321,0
0.0851,71.321,0
0.0579,71.321,0
0.0068,71.321,0
0.0824,71.321,0
0.0295,71.321,0
0.0105,94.734,0
0.0285,106.948,0
0.004,106.607,0
0,0,0
0,0,0
0,0,0
0.0001,0,0
0.0199,20.48404084,0
0.0416,20.48404084,0
0.0196,36.74498104,0
0,105.739,0
0.0333,105.739,0
0.0273,104.055,0
0.0795,102.121,0
0.0586,92.727,0
0.1084,71.321,0
0.1421,71.321,0
0.1523,71.321,0
0.1031,42.025,0
0.2308,38.461,0
0.1455,38.368,0
0.1711,38.368,0
0.1704,210.4116147,1
0.1561,210.4116147,1
0.1123,210.4116147,1
0.1621,210.4116147,1
0.1311,210.4116147,1
0.1743,210.4116147,1
0.2052,210.4116147,1
0.1716,210.4116147,1
0.221,35.604,0
0.4345,35.604,0
0.4557,36.57,0
0.6249,210.4116147,1
0.6764,210.4116147,1
0.5688,210.4116147,1
0.3355,210.4116147,1
0.6133,210.4116147,1
0.7698,37.886,0
0.5663,210.4116147,1
0.4286,210.4116147,1
0.3549,210.4116147,1
0.3444,38.04,0
0.397,38.04,0
0.4307,38.04,0
0.5509,38.04,0
0.6165,38.04,0
0.4443,38.04,0
0.6038,40.484,0
0.5122,45.452,0
0.5179,48.34,0
0.3258,47.282,0
0.2293,43.68,0
0.0895,210.4116147,1
0.0588,210.4116147,1
0.0966,210.4116147,1
0.0704,38.777,0
0.1808,38.637,0
0.2376,39.61,0
0.2224,45.501,0
0.3531,40.033,0
0.4295,38.145,1
0.6054,38.04,0
0.514,38.04,0
0.4638,38.04,0
0.6167,38.04,0
0.3275,210.4116147,1
0.2208,210.4116147,1
0.2893,210.4116147,1
