time,Spot price 2025,Spot price 2035,Spot price 2045,DA forecast,Realised production
13/01/1985 19.00,39.919,63.098,74.481,0.1508,0.135
13/01/1985 20.00,39.919,62.422,74.481,0.1841,0.1754
13/01/1985 21.00,39.06,61.572,74.481,0.2112,0.2188
13/01/1985 22.00,38.67,61.572,74.481,0.2381,0.2771
13/01/1985 23.00,38.67,61.572,74.481,0.2661,0.2899
14/01/1985 00.00,34.447,57.746,65.57,0.7945,0.3351
14/01/1985 01.00,34.447,57.746,65.57,0.7864,0.3597
14/01/1985 02.00,34.447,57.746,65.57,0.7697,0.373
14/01/1985 03.00,34.447,57.746,65.57,0.7574,0.3706
14/01/1985 04.00,34.447,57.746,65.57,0.7449,0.366
14/01/1985 05.00,34.982,57.746,65.57,0.625,0.3488
14/01/1985 06.00,40.589,58.147,65.302,0.6487,0.3784
14/01/1985 07.00,43.551,58.558,65.519,0.6784,0.4007
14/01/1985 08.00,43.654,58.434,65.41,0.6943,0.4009
14/01/1985 09.00,36.987,57.19,64.97,0.6639,0.402
14/01/1985 10.00,34.355,55.065,62.511,0.5798,0.3568
14/01/1985 11.00,34.292,55.065,62.511,0.5959,0.355
14/01/1985 12.00,34.292,56.358,62.813,0.5381,0.3314
14/01/1985 13.00,34.992,56.897,65.322,0.4511,0.2994
14/01/1985 14.00,35.572,57.867,65.41,0.3911,0.2929
14/01/1985 15.00,36.538,57.967,65.57,0.3477,0.2893
14/01/1985 16.00,38.541,57.967,65.57,0.2966,0.3041
14/01/1985 17.00,37.069,57.967,65.57,0.2919,0.3247
14/01/1985 18.00,35.636,57.967,65.57,0.3314,0.3509
14/01/1985 19.00,35.544,57.967,65.57,0.2992,0.3764
14/01/1985 20.00,35.544,57.967,65.57,0.3282,0.3997
14/01/1985 21.00,35.128,57.967,65.57,0.3774,0.417
14/01/1985 22.00,35.612,57.967,65.57,0.3398,0.3861
14/01/1985 23.00,35.235,58.181,65.57,0.32,0.3636
15/01/1985 00.00,42.762,61.536,57.656,0.3217,0.3369
15/01/1985 01.00,42.762,61.536,57.656,0.2749,0.3564
15/01/1985 02.00,42.762,61.536,57.656,0.2506,0.3422
15/01/1985 03.00,42.762,61.604,57.656,0.2247,0.3222
15/01/1985 04.00,42.762,61.604,57.656,0.242,0.3386
15/01/1985 05.00,42.762,61.796,57.656,0.2544,0.3699
15/01/1985 06.00,44.218,61.4,56.465,0.2287,0.4
15/01/1985 07.00,45.132,61.4,56.465,0.2547,0.4208
15/01/1985 08.00,44.933,61.169,55.942,0.3027,0.4607
15/01/1985 09.00,43.501,55.271,53.267,0.2604,0.489
15/01/1985 10.00,41.253,52.977,53.267,0.2451,0.5225
15/01/1985 11.00,40.025,52.977,53.267,0.2728,0.6047
15/01/1985 12.00,40.025,52.977,53.685,0.2826,0.685
15/01/1985 13.00,40.234,52.977,54.364,0.2862,0.676
15/01/1985 14.00,41.698,56.454,55.717,0.315,0.6757
15/01/1985 15.00,42.345,60.478,56.349,0.2984,0.6513
15/01/1985 16.00,42.357,61.24,57.656,0.2654,0.6156
15/01/1985 17.00,42.855,61.24,57.656,0.2775,0.5947
15/01/1985 18.00,42.476,61.24,57.656,0.2747,0.5699
15/01/1985 19.00,41.968,61.24,57.656,0.2076,0.5284
15/01/1985 20.00,41.784,61.24,57.656,0.1644,0.4548
15/01/1985 21.00,41.698,61.24,57.656,0.1525,0.4001
15/01/1985 22.00,41.345,61.24,57.656,0.1843,0.461
15/01/1985 23.00,41.345,61.24,57.656,0.0958,0.4123
16/01/1985 00.00,41.278,62.579,63.108,0.5018,0.4144
16/01/1985 01.00,41.278,62.579,63.108,0.4488,0.4121
16/01/1985 02.00,41.278,62.579,63.108,0.4357,0.4204
16/01/1985 03.00,41.278,62.579,63.108,0.3769,0.4055
16/01/1985 04.00,41.278,62.579,63.108,0.3916,0.4065
16/01/1985 05.00,41.374,62.785,63.108,0.412,0.3969
16/01/1985 06.00,42.535,62.031,61.97,0.4153,0.362
16/01/1985 07.00,43.317,63.556,61.951,0.4258,0.3538
16/01/1985 08.00,42.874,62.29,61.525,0.4395,0.3595
16/01/1985 09.00,38.502,58.175,58.823,0.4884,0.3553
16/01/1985 10.00,31.844,56.711,58.475,0.5116,0.3125
16/01/1985 11.00,33.962,58.123,58.475,0.4153,0.2454
16/01/1985 12.00,39.989,59.109,60.182,0.3499,0.2209
16/01/1985 13.00,42.737,61.012,61.002,0.3358,0.2225
16/01/1985 14.00,42.737,61.463,61.162,0.3485,0.2447
16/01/1985 15.00,43.313,62.579,62.754,0.375,0.2744
16/01/1985 16.00,43.313,62.81,63.108,0.4308,0.3215
16/01/1985 17.00,43.313,62.579,63.108,0.4736,0.3556
16/01/1985 18.00,43.313,62.579,63.108,0.4906,0.3512
16/01/1985 19.00,42.737,62.579,63.108,0.4964,0.3194
16/01/1985 20.00,42.697,62.579,63.108,0.4732,0.2855
16/01/1985 21.00,42.697,62.579,63.108,0.4165,0.2483
16/01/1985 22.00,42.54,62.579,63.108,0.3321,0.2137
16/01/1985 23.00,42.697,62.579,63.108,0.2754,0.1604
17/01/1985 00.00,44.746,64.534,75.091,0.1092,0.1136
17/01/1985 01.00,44.746,64.534,75.091,0.0709,0.1021
17/01/1985 02.00,44.746,64.534,75.091,0.0545,0.1036
17/01/1985 03.00,44.746,64.534,75.091,0.0786,0.11
17/01/1985 04.00,44.746,64.534,75.091,0.094,0.1119
17/01/1985 05.00,45.323,64.534,75.091,0.069,0.1111
17/01/1985 06.00,46.224,62.706,73.985,0.0595,0.1122
17/01/1985 07.00,47.65,63.05,75.041,0.063,0.1119
17/01/1985 08.00,46.426,62.863,74.518,0.0535,0.0984
17/01/1985 09.00,45.076,60.899,73.46,0.0391,0.0621
17/01/1985 10.00,43.233,59.242,71.711,0.0363,0.0548
17/01/1985 11.00,43.233,60.117,71.711,0.0175,0.0299
17/01/1985 12.00,43.24,61.295,71.892,0.0055,0.0188
17/01/1985 13.00,44.746,62.042,73.417,0.0149,0.0415
17/01/1985 14.00,45.413,62.29,74.072,0.0322,0.047
17/01/1985 15.00,46.202,64.534,75.032,0.0514,0.0546
17/01/1985 16.00,53.939,64.534,75.091,0.0529,0.0604
17/01/1985 17.00,48.667,64.534,75.091,0.0789,0.066
17/01/1985 18.00,47.758,64.534,75.091,0.0892,0.0623
17/01/1985 19.00,46.644,64.534,75.091,0.0654,0.0361
17/01/1985 20.00,46.209,64.534,75.091,0.0191,0.0126
17/01/1985 21.00,45.873,64.534,75.091,0.0078,0.0026
17/01/1985 22.00,45.271,64.534,75.091,0.0339,0.0169
17/01/1985 23.00,45.271,64.534,75.091,0.0249,0.0181
18/01/1985 00.00,74.255,93.188,76.111,0,0.0115
18/01/1985 01.00,74.255,93.188,76.111,0,0.0049
18/01/1985 02.00,74.255,93.188,76.111,0,0.0118
18/01/1985 03.00,74.255,93.188,76.111,0,0.0109
18/01/1985 04.00,74.255,93.188,76.111,0,0.0014
18/01/1985 05.00,75.231,93.188,76.111,0,0
18/01/1985 06.00,77.891,67.564,73.687,0,0
18/01/1985 07.00,96.926,65.704,73.144,0,0.0012
18/01/1985 08.00,76.686,66.845,73.144,0,0
18/01/1985 09.00,52.418,64.559,70.74,0,0
18/01/1985 10.00,46.751,63.604,70.481,0,0
18/01/1985 11.00,46.898,63.604,70.481,0,0
18/01/1985 12.00,47.79,64.346,70.884,0,0
18/01/1985 13.00,69.808,65.503,73.036,0,0
18/01/1985 14.00,77.745,67.199,74.109,0,0
18/01/1985 15.00,100.931,128.389,76.111,0,0
18/01/1985 16.00,104.471,128.389,76.111,0,0.005
18/01/1985 17.00,100.863,128.389,76.111,0,0.0147
18/01/1985 18.00,99.168,128.389,76.111,0,0.0181
18/01/1985 19.00,97.964,128.389,76.111,0,0.0183
18/01/1985 20.00,97.777,128.389,76.111,0,0.0016
18/01/1985 21.00,97.777,128.389,76.111,0,0
18/01/1985 22.00,97.763,128.389,76.111,0,0
18/01/1985 23.00,96.551,128.389,76.111,0,0
19/01/1985 00.00,101.113,162.74,183.36,0,0
19/01/1985 01.00,101.113,162.74,183.36,0,0
19/01/1985 02.00,101.113,162.74,183.36,0,0
19/01/1985 03.00,101.113,162.74,183.36,0,0
19/01/1985 04.00,101.113,162.74,183.36,0,0
19/01/1985 05.00,101.113,162.74,183.36,0,0
19/01/1985 06.00,101.113,162.74,183.36,0,0
19/01/1985 07.00,104.538,162.74,183.36,0,0
19/01/1985 08.00,108.376,162.74,177.972,0,0
19/01/1985 09.00,102.964,155.753,163.325,0,0
19/01/1985 10.00,101.113,155.753,163.325,0,0
19/01/1985 11.00,101.113,155.753,163.325,0,0
19/01/1985 12.00,101.662,155.753,163.325,0,0
19/01/1985 13.00,102.367,157.323,169.919,0,0
19/01/1985 14.00,103.778,161.616,183.36,0.0125,0
19/01/1985 15.00,111.433,162.74,183.36,0.0112,0.0009
19/01/1985 16.00,136.656,185.352,183.36,0,0
